date,state,cases,deaths
2020-03-08,MG,1,0
2020-03-09,MG,1,0
2020-03-10,MG,1,0
2020-03-11,MG,1,0
2020-03-12,MG,2,0
2020-03-13,MG,2,0
2020-03-14,MG,4,0
2020-03-15,MG,4,0
2020-03-16,MG,5,0
2020-03-17,MG,9,0
2020-03-18,MG,9,0
2020-03-19,MG,11,0
2020-03-20,MG,18,0
2020-03-21,MG,25,0
2020-03-22,MG,53,0
2020-03-23,MG,68,0
2020-03-24,MG,43,0
2020-03-25,MG,43,0
2020-03-26,MG,57,0
2020-03-27,MG,71,0
2020-03-28,MG,76,0
2020-03-29,MG,88,0
2020-03-30,MG,98,0
2020-03-31,MG,112,0
2020-04-01,MG,126,1
2020-04-02,MG,160,1
2020-04-03,MG,172,3
2020-04-04,MG,193,3
2020-04-05,MG,236,3
2020-04-06,MG,261,5
2020-04-07,MG,284,6
2020-04-08,MG,315,8
2020-04-09,MG,345,9
2020-04-10,MG,368,11
2020-04-11,MG,412,11
2020-04-12,MG,451,14
2020-04-13,MG,458,17
2020-04-14,MG,511,21
2020-04-15,MG,523,24
2020-04-16,MG,568,26
2020-04-17,MG,615,27
2020-04-18,MG,657,31
2020-04-19,MG,706,31
2020-04-20,MG,729,33
2020-04-21,MG,763,36
2020-04-22,MG,796,38
2020-04-23,MG,817,42
2020-04-24,MG,900,43
2020-04-25,MG,953,47
2020-04-26,MG,1004,50
2020-04-27,MG,1027,51
2020-04-28,MG,1080,57
2020-04-29,MG,1181,64
2020-04-30,MG,1234,65
2020-05-01,MG,1325,68
2020-05-02,MG,1397,68
2020-05-03,MG,1472,69
2020-05-04,MG,1502,70
2020-05-05,MG,1601,72
2020-05-06,MG,1748,74
2020-05-07,MG,1855,81
2020-05-08,MG,2017,86
2020-05-09,MG,2163,92
2020-05-10,MG,2264,93
2020-05-11,MG,2341,95
2020-05-12,MG,2443,101
2020-05-13,MG,2685,107
2020-05-14,MG,2882,111
2020-05-15,MG,3108,117
2020-05-16,MG,3324,121
2020-05-17,MG,3451,125
2020-05-18,MG,3506,130
2020-05-19,MG,3728,134
2020-05-20,MG,3999,142
2020-05-21,MG,4280,155
2020-05-22,MG,4644,162
2020-05-23,MG,4945,175
2020-05-24,MG,5234,184
2020-05-25,MG,5518,188
2020-05-26,MG,5982,191
2020-05-27,MG,6398,197
2020-05-28,MG,7012,209
2020-05-29,MG,7466,209
2020-05-30,MG,7852,214
2020-05-31,MG,8612,222
2020-06-01,MG,8788,229
2020-06-02,MG,9027,238
2020-06-03,MG,9981,255
2020-06-04,MG,10890,268
2020-06-05,MG,11690,286
2020-06-06,MG,12531,308
2020-06-07,MG,13206,317
2020-06-08,MG,13369,321
2020-06-09,MG,13553,337
2020-06-10,MG,14669,347
2020-06-11,MG,15529,365
2020-06-12,MG,17012,380
2020-06-13,MG,17390,387
2020-06-14,MG,17956,408
2020-06-15,MG,18241,414
2020-06-16,MG,18536,426
2020-06-17,MG,19716,454
2020-06-18,MG,21096,483
2020-06-19,MG,22173,510
2020-06-20,MG,23313,540
2020-06-21,MG,23558,565
2020-06-22,MG,24490,592
2020-06-23,MG,25230,624
2020-06-24,MG,26571,667
2020-06-25,MG,27827,700
2020-06-26,MG,33914,724
2020-06-27,MG,35989,774
2020-06-28,MG,37546,791
2020-06-29,MG,38424,810
2020-06-30,MG,39491,829
2020-07-01,MG,41669,863
2020-07-02,MG,44137,902
2020-07-03,MG,46207,942
2020-07-04,MG,48397,1007
2020-07-05,MG,50393,1025
2020-07-06,MG,51546,1054
2020-07-07,MG,52624,1094
2020-07-08,MG,55261,1155
2020-07-09,MG,57503,1222
2020-07-10,MG,60108,1258
2020-07-11,MG,63195,1301
2020-07-12,MG,65233,1327
2020-07-13,MG,66204,1345
2020-07-14,MG,67339,1403
2020-07-15,MG,69887,1456
2020-07-16,MG,72347,1515
2020-07-17,MG,75040,1576
2020-07-18,MG,77175,1622
2020-07-19,MG,79272,1640
2020-07-20,MG,80432,1662
2020-07-21,MG,81565,1694
2020-07-22,MG,84652,1768
2020-07-23,MG,87517,1821
2020-07-24,MG,90712,1883
2020-07-25,MG,93423,1945
2020-07-26,MG,95334,1970
2020-07-27,MG,96481,2002
2020-07-28,MG,98448,2068
2020-07-29,MG,101197,2126
