date,state,cases,deaths
2020-03-14,SE,1,0
2020-03-15,SE,1,0
2020-03-16,SE,5,0
2020-03-17,SE,5,0
2020-03-18,SE,6,0
2020-03-19,SE,6,0
2020-03-20,SE,7,0
2020-03-21,SE,10,0
2020-03-22,SE,10,0
2020-03-23,SE,10,0
2020-03-24,SE,15,0
2020-03-25,SE,16,0
2020-03-26,SE,16,0
2020-03-27,SE,16,0
2020-03-28,SE,16,0
2020-03-29,SE,16,0
2020-03-30,SE,18,0
2020-03-31,SE,19,0
2020-04-01,SE,22,0
2020-04-02,SE,24,2
2020-04-03,SE,27,2
2020-04-04,SE,32,3
2020-04-05,SE,32,3
2020-04-06,SE,32,4
2020-04-07,SE,36,4
2020-04-08,SE,39,4
2020-04-09,SE,40,4
2020-04-10,SE,42,4
2020-04-11,SE,44,4
2020-04-12,SE,44,4
2020-04-13,SE,45,4
2020-04-14,SE,46,4
2020-04-15,SE,48,4
2020-04-16,SE,53,4
2020-04-17,SE,58,4
2020-04-18,SE,71,5
2020-04-19,SE,86,5
2020-04-20,SE,92,5
2020-04-21,SE,117,7
2020-04-22,SE,118,7
2020-04-23,SE,135,8
2020-04-24,SE,145,8
2020-04-25,SE,154,9
2020-04-26,SE,175,9
2020-04-27,SE,211,11
2020-04-28,SE,280,11
2020-04-29,SE,337,12
2020-04-30,SE,453,14
2020-05-01,SE,517,14
2020-05-02,SE,601,14
2020-05-03,SE,730,14
2020-05-04,SE,772,17
2020-05-05,SE,898,21
2020-05-06,SE,998,23
2020-05-07,SE,1214,25
2020-05-08,SE,1438,28
2020-05-09,SE,1588,33
2020-05-10,SE,1771,34
2020-05-11,SE,1800,37
2020-05-12,SE,2032,37
2020-05-13,SE,2268,42
2020-05-14,SE,2494,47
2020-05-15,SE,2868,50
2020-05-16,SE,3135,53
2020-05-17,SE,3343,57
2020-05-18,SE,3566,59
2020-05-19,SE,3967,63
2020-05-20,SE,4277,69
2020-05-21,SE,4734,76
2020-05-22,SE,4922,82
2020-05-23,SE,5131,86
2020-05-24,SE,5314,93
2020-05-25,SE,5448,103
2020-05-26,SE,5735,116
2020-05-27,SE,5912,127
2020-05-28,SE,6156,135
2020-05-29,SE,6462,142
2020-05-30,SE,6805,149
2020-05-31,SE,6999,158
2020-06-01,SE,7233,166
2020-06-02,SE,7555,172
2020-06-03,SE,7989,180
2020-06-04,SE,8200,186
2020-06-05,SE,8577,198
2020-06-06,SE,8972,208
2020-06-07,SE,9290,217
2020-06-08,SE,9727,234
2020-06-09,SE,10126,252
2020-06-10,SE,10615,264
2020-06-11,SE,11056,283
2020-06-12,SE,11534,305
2020-06-13,SE,12866,316
2020-06-14,SE,13968,330
2020-06-15,SE,15675,352
2020-06-16,SE,16310,364
2020-06-17,SE,16807,383
2020-06-18,SE,17338,400
2020-06-19,SE,17808,426
2020-06-20,SE,18449,448
2020-06-21,SE,18985,462
2020-06-22,SE,19384,491
2020-06-23,SE,19883,511
2020-06-24,SE,20353,524
2020-06-25,SE,21081,554
2020-06-26,SE,21908,579
2020-06-27,SE,23319,605
2020-06-28,SE,24421,620
2020-06-29,SE,24817,653
2020-06-30,SE,25411,676
2020-07-01,SE,26612,725
2020-07-02,SE,26612,725
2020-07-03,SE,28186,764
2020-07-04,SE,29761,783
2020-07-05,SE,30217,798
2020-07-06,SE,30718,826
2020-07-07,SE,31640,851
2020-07-08,SE,32490,875
2020-07-09,SE,33416,901
2020-07-10,SE,34713,931
2020-07-11,SE,36046,954
2020-07-12,SE,37631,984
2020-07-13,SE,38221,1012
2020-07-14,SE,39167,1033
2020-07-15,SE,40139,1054
2020-07-16,SE,41226,1071
2020-07-17,SE,41888,1088
2020-07-18,SE,43072,1111
2020-07-19,SE,45243,1125
2020-07-20,SE,46059,1156
2020-07-21,SE,47110,1182
2020-07-22,SE,48140,1211
2020-07-23,SE,49397,1247
2020-07-24,SE,51132,1284
2020-07-25,SE,52264,1303
2020-07-26,SE,52603,1314
2020-07-27,SE,53612,1340
2020-07-28,SE,55009,1359
2020-07-29,SE,56214,1390
2020-07-30,SE,57684,1408
2020-07-31,SE,58713,1434
2020-08-01,SE,59724,1448
2020-08-02,SE,60035,1465
2020-08-03,SE,60479,1489
2020-08-04,SE,61069,1509
2020-08-05,SE,61986,1525
2020-08-06,SE,63728,1558
2020-08-07,SE,63728,1558
2020-08-08,SE,64271,1577
2020-08-09,SE,64693,1589
2020-08-10,SE,64974,1614
2020-08-11,SE,65455,1633
2020-08-12,SE,65865,1653
2020-08-13,SE,66810,1670
2020-08-14,SE,67225,1684
2020-08-15,SE,67701,1696
2020-08-16,SE,67997,1705
2020-08-17,SE,68313,1717
2020-08-18,SE,68699,1729
2020-08-19,SE,69067,1745
2020-08-20,SE,69502,1757
2020-08-21,SE,69845,1761
2020-08-22,SE,70252,1771
2020-08-23,SE,70472,1782
2020-08-24,SE,70606,1793
2020-08-25,SE,70926,1808
2020-08-26,SE,71222,1822
2020-08-27,SE,71599,1830
2020-08-28,SE,72039,1837
2020-08-29,SE,72280,1839
2020-08-30,SE,72417,1844
2020-08-31,SE,72528,1857
2020-09-01,SE,72721,1867
2020-09-02,SE,72931,1873
2020-09-03,SE,73182,1877
2020-09-04,SE,73383,1880
2020-09-05,SE,73631,1885
2020-09-06,SE,73740,1893
2020-09-07,SE,73846,1898
2020-09-08,SE,73971,1909
2020-09-09,SE,74121,1920
2020-09-10,SE,74386,1933
2020-09-11,SE,74645,1939
2020-09-12,SE,74765,1945
2020-09-13,SE,74833,1949
2020-09-14,SE,75046,1956
2020-09-15,SE,75203,1962
2020-09-16,SE,75342,1965
2020-09-17,SE,75560,1968
2020-09-18,SE,75664,1972
2020-09-19,SE,75772,1976
2020-09-20,SE,75873,1981
2020-09-21,SE,76073,1987
2020-09-22,SE,76193,1993
2020-09-23,SE,76353,1999
2020-09-24,SE,76603,2004
2020-09-25,SE,76727,2010
2020-09-26,SE,76917,2015
2020-09-27,SE,77083,2019
2020-09-28,SE,77172,2025
2020-09-29,SE,77280,2031
2020-09-30,SE,77440,2036
2020-10-01,SE,77635,2040
2020-10-02,SE,77779,2045
2020-10-03,SE,78002,2051
2020-10-04,SE,78195,2055
2020-10-05,SE,78380,2061
2020-10-06,SE,78525,2067
2020-10-07,SE,78692,2072
2020-10-08,SE,78957,2078
2020-10-09,SE,79245,2083
2020-10-10,SE,79501,2089
2020-10-11,SE,79896,2095
2020-10-12,SE,79975,2102
2020-10-13,SE,80234,2107
2020-10-14,SE,80427,2113
2020-10-15,SE,80733,2118
2020-10-16,SE,80925,2124
2020-10-17,SE,81119,2129
2020-10-18,SE,81564,2134
2020-10-19,SE,82040,2139
2020-10-20,SE,82301,2145
2020-10-21,SE,82826,2151
2020-10-22,SE,83139,2157
2020-10-23,SE,83407,2163
2020-10-24,SE,83646,2168
2020-10-25,SE,83794,2172
2020-10-26,SE,83863,2178
2020-10-27,SE,83965,2184
2020-10-28,SE,84048,2190
2020-10-29,SE,84171,2195
2020-10-30,SE,84237,2201
2020-10-31,SE,84326,2206
2020-11-01,SE,84362,2211
2020-11-02,SE,84491,2217
2020-11-03,SE,84577,2223
2020-11-04,SE,84709,2228
2020-11-05,SE,84810,2231
2020-11-06,SE,85053,2235
2020-11-07,SE,85226,2239
2020-11-08,SE,85377,2243
2020-11-09,SE,85477,2244
2020-11-10,SE,85574,2246
2020-11-11,SE,85643,2247
2020-11-12,SE,85804,2250
2020-11-13,SE,85893,2254
2020-11-14,SE,85980,2257
2020-11-15,SE,86045,2259
2020-11-16,SE,86146,2260
2020-11-17,SE,86273,2263
2020-11-18,SE,86361,2266
2020-11-19,SE,86612,2270
2020-11-20,SE,86847,2274
2020-11-21,SE,87089,2274
2020-11-22,SE,87248,2275
2020-11-23,SE,87477,2279
2020-11-24,SE,87800,2283
2020-11-25,SE,88100,2288
2020-11-26,SE,88661,2292
2020-11-27,SE,88999,2296
2020-11-28,SE,89507,2300
2020-11-29,SE,89998,2304
2020-11-30,SE,90148,2308
2020-12-01,SE,90386,2312
2020-12-02,SE,90920,2316
2020-12-03,SE,91718,2320
2020-12-04,SE,91793,2324
2020-12-05,SE,91854,2329
2020-12-06,SE,94451,2333
2020-12-07,SE,95174,2337
2020-12-08,SE,95493,2341
2020-12-09,SE,96346,2346
2020-12-10,SE,96990,2351
2020-12-11,SE,97562,2356
2020-12-12,SE,98472,2361
2020-12-13,SE,99151,2365
2020-12-14,SE,99753,2370
2020-12-15,SE,100371,2374
2020-12-16,SE,101148,2381
2020-12-17,SE,101706,2387
2020-12-18,SE,101810,2394
2020-12-19,SE,103042,2401
2020-12-20,SE,103955,2407
2020-12-21,SE,104426,2413
2020-12-22,SE,105018,2420
2020-12-23,SE,105673,2427
2020-12-24,SE,106896,2434
2020-12-25,SE,107721,2441
2020-12-26,SE,108166,2448
2020-12-27,SE,108943,2454
2020-12-28,SE,110001,2461
2020-12-29,SE,110804,2468
2020-12-30,SE,111735,2476
2020-12-31,SE,112505,2484
2021-01-01,SE,113544,2492
2021-01-02,SE,113916,2500
2021-01-03,SE,114685,2508
2021-01-04,SE,115636,2516
2021-01-05,SE,116779,2524
2021-01-06,SE,117818,2532
2021-01-07,SE,119045,2544
2021-01-08,SE,120262,2554
2021-01-09,SE,121222,2563
2021-01-10,SE,122594,2574
2021-01-11,SE,123836,2585
2021-01-12,SE,124276,2595
2021-01-13,SE,124942,2607
2021-01-14,SE,126204,2617
2021-01-15,SE,127349,2629
2021-01-16,SE,127715,2640
2021-01-17,SE,128395,2652
2021-01-18,SE,128854,2662
2021-01-19,SE,129505,2674
2021-01-20,SE,130286,2685
2021-01-21,SE,131023,2697
2021-01-22,SE,131835,2710
2021-01-23,SE,132337,2719
2021-01-24,SE,132829,2727
2021-01-25,SE,133655,2736
2021-01-26,SE,134003,2746
2021-01-27,SE,134556,2755
2021-01-28,SE,134556,2755
