date,state,cases,deaths
2020-03-12,SC,2,0
2020-03-13,SC,3,0
2020-03-14,SC,5,0
2020-03-15,SC,6,0
2020-03-16,SC,7,0
2020-03-17,SC,7,0
2020-03-18,SC,14,0
2020-03-19,SC,21,0
2020-03-20,SC,40,0
2020-03-21,SC,57,0
2020-03-22,SC,68,0
2020-03-23,SC,86,0
2020-03-24,SC,109,0
2020-03-25,SC,122,0
2020-03-26,SC,149,1
2020-03-27,SC,163,1
2020-03-28,SC,184,1
2020-03-29,SC,197,1
2020-03-30,SC,219,2
2020-03-31,SC,235,2
2020-04-01,SC,247,2
2020-04-02,SC,281,5
2020-04-03,SC,301,5
2020-04-04,SC,356,10
2020-04-05,SC,379,10
2020-04-06,SC,417,11
2020-04-07,SC,457,15
2020-04-08,SC,501,17
2020-04-09,SC,693,18
2020-04-10,SC,717,18
2020-04-11,SC,732,21
2020-04-12,SC,776,24
2020-04-13,SC,826,26
2020-04-14,SC,853,28
2020-04-15,SC,884,29
2020-04-16,SC,926,30
2020-04-17,SC,962,31
2020-04-18,SC,975,32
2020-04-19,SC,1025,35
2020-04-20,SC,1063,35
2020-04-21,SC,1091,37
2020-04-22,SC,1115,39
2020-04-23,SC,1170,42
2020-04-24,SC,1209,42
2020-04-25,SC,1235,42
2020-04-26,SC,1337,43
2020-04-27,SC,1476,44
2020-04-28,SC,1995,44
2020-04-29,SC,2085,46
2020-04-30,SC,2394,48
2020-05-01,SC,2104,50
2020-05-02,SC,2346,52
2020-05-03,SC,2519,52
2020-05-04,SC,2623,55
2020-05-05,SC,2795,58
2020-05-06,SC,2917,59
2020-05-07,SC,3082,63
2020-05-08,SC,3205,63
2020-05-09,SC,3372,64
2020-05-10,SC,3429,65
2020-05-11,SC,3529,69
2020-05-12,SC,3733,73
2020-05-13,SC,3828,73
2020-05-14,SC,4332,78
2020-05-15,SC,4562,79
2020-05-16,SC,4678,81
2020-05-17,SC,4776,83
2020-05-18,SC,5175,85
2020-05-19,SC,5413,91
2020-05-20,SC,5499,94
2020-05-21,SC,5610,98
2020-05-22,SC,6458,100
2020-05-23,SC,6607,103
2020-05-24,SC,6696,105
2020-05-25,SC,6875,109
2020-05-26,SC,7016,121
2020-05-27,SC,7372,126
2020-05-28,SC,8000,131
2020-05-29,SC,8530,134
2020-05-30,SC,8780,136
2020-05-31,SC,9037,143
2020-06-01,SC,9498,146
2020-06-02,SC,9660,148
2020-06-03,SC,10034,152
2020-06-04,SC,10533,156
2020-06-05,SC,10846,159
2020-06-06,SC,11285,166
2020-06-07,SC,11565,171
2020-06-08,SC,11742,177
2020-06-09,SC,12192,179
2020-06-10,SC,12594,184
2020-06-11,SC,12953,186
2020-06-12,SC,13165,191
2020-06-13,SC,13296,193
2020-06-14,SC,13360,195
2020-06-15,SC,13960,199
2020-06-16,SC,14402,212
2020-06-17,SC,15015,216
2020-06-18,SC,15573,222
2020-06-19,SC,16332,234
2020-06-20,SC,17108,237
2020-06-21,SC,17582,246
2020-06-22,SC,17937,256
2020-06-23,SC,19244,263
2020-06-24,SC,20921,279
2020-06-25,SC,21951,289
2020-06-26,SC,22947,298
2020-06-27,SC,23808,304
2020-06-28,SC,24364,312
2020-06-29,SC,25056,324
2020-06-30,SC,26354,341
2020-07-01,SC,27279,347
2020-07-02,SC,28575,362
2020-07-03,SC,30261,376
2020-07-04,SC,31931,383
2020-07-05,SC,32969,393
2020-07-06,SC,33822,406
2020-07-07,SC,35343,420
2020-07-08,SC,36810,432
2020-07-09,SC,38408,447
2020-07-10,SC,40106,459
2020-07-11,SC,42026,485
2020-07-12,SC,43031,497
2020-07-13,SC,43815,517
2020-07-14,SC,46050,534
2020-07-15,SC,47976,569
2020-07-16,SC,49781,588
2020-07-17,SC,51549,646
2020-07-18,SC,52531,662
2020-07-19,SC,53336,685
2020-07-20,SC,54414,694
2020-07-21,SC,56475,738
2020-07-22,SC,59556,765
2020-07-23,SC,62282,812
2020-07-24,SC,65017,844
2020-07-25,SC,67333,880
2020-07-26,SC,68730,907
2020-07-27,SC,70138,924
2020-07-28,SC,73771,960
2020-07-29,SC,77001,1002
2020-07-30,SC,80904,1043
2020-07-31,SC,84073,1102
2020-08-01,SC,86922,1154
2020-08-02,SC,87982,1175
2020-08-03,SC,88889,1196
2020-08-04,SC,92157,1235
2020-08-05,SC,95410,1306
2020-08-06,SC,98634,1357
2020-08-07,SC,101582,1400
2020-08-08,SC,104749,1419
2020-08-09,SC,105935,1445
2020-08-10,SC,106928,1541
2020-08-11,SC,109522,1619
2020-08-12,SC,112401,1637
2020-08-13,SC,115032,1696
2020-08-14,SC,118183,1742
2020-08-15,SC,120001,1767
2020-08-16,SC,120880,1797
2020-08-17,SC,121666,1839
2020-08-18,SC,124313,1883
2020-08-19,SC,126850,1918
2020-08-20,SC,129072,1960
2020-08-21,SC,130349,1995
2020-08-22,SC,132008,2027
2020-08-23,SC,132492,2042
2020-08-24,SC,133533,2066
2020-08-25,SC,135690,2116
2020-08-26,SC,137560,2142
2020-08-27,SC,139638,2170
2020-08-28,SC,141692,2193
2020-08-29,SC,146404,2218
2020-08-30,SC,146864,2235
2020-08-31,SC,177777,2260
2020-09-01,SC,180474,2301
2020-09-02,SC,182522,2325
2020-09-03,SC,184204,2352
2020-09-04,SC,186596,2376
2020-09-05,SC,188361,2400
2020-09-06,SC,189028,2405
2020-09-07,SC,189477,2422
2020-09-08,SC,190397,2442
2020-09-09,SC,192982,2460
2020-09-10,SC,194176,2483
2020-09-11,SC,195701,2497
2020-09-12,SC,197064,2515
2020-09-13,SC,197745,2529
2020-09-14,SC,198640,2543
2020-09-15,SC,200241,2569
2020-09-16,SC,201682,2593
2020-09-17,SC,202934,2609
2020-09-18,SC,204166,2627
2020-09-19,SC,205250,2635
2020-09-20,SC,205620,2639
2020-09-21,SC,206332,2656
2020-09-22,SC,207692,2671
2020-09-23,SC,208900,2686
2020-09-24,SC,210048,2704
2020-09-25,SC,211105,2723
2020-09-26,SC,212091,2736
2020-09-27,SC,212584,2747
2020-09-28,SC,213066,2765
2020-09-29,SC,214261,2786
2020-09-30,SC,215478,2797
2020-10-01,SC,216624,2821
2020-10-02,SC,217722,2830
2020-10-03,SC,218633,2842
2020-10-04,SC,219218,2847
2020-10-05,SC,220044,2858
2020-10-06,SC,221442,2872
2020-10-07,SC,222652,2880
2020-10-08,SC,224103,2892
2020-10-09,SC,225637,2893
2020-10-10,SC,226614,2908
2020-10-11,SC,227213,2917
2020-10-12,SC,228008,2918
2020-10-13,SC,228403,2927
2020-10-14,SC,229910,2940
2020-10-15,SC,231412,2952
2020-10-16,SC,232933,2962
2020-10-17,SC,234765,2966
2020-10-18,SC,235159,2967
2020-10-19,SC,236224,2976
2020-10-20,SC,237781,2991
2020-10-21,SC,238833,2998
2020-10-22,SC,241044,3011
2020-10-23,SC,243116,3015
2020-10-24,SC,244978,3024
2020-10-25,SC,246086,3028
2020-10-26,SC,247477,3041
2020-10-27,SC,249899,3059
2020-10-28,SC,252551,3068
2020-10-29,SC,254488,3077
2020-10-30,SC,256356,3094
2020-10-31,SC,258940,3114
2020-11-01,SC,260057,3122
2020-11-02,SC,261543,3129
2020-11-03,SC,263823,3139
2020-11-04,SC,266637,3163
2020-11-05,SC,268644,3173
2020-11-06,SC,270795,3195
2020-11-07,SC,273652,3202
2020-11-08,SC,274621,3211
2020-11-09,SC,275655,3231
2020-11-10,SC,280541,3243
2020-11-11,SC,283252,3268
2020-11-12,SC,284982,3282
2020-11-13,SC,289787,3298
2020-11-14,SC,293802,3309
2020-11-15,SC,295946,3318
2020-11-16,SC,297400,3330
2020-11-17,SC,302578,3370
2020-11-18,SC,306788,3384
2020-11-19,SC,311393,3405
2020-11-20,SC,317502,3435
2020-11-21,SC,323390,3459
2020-11-22,SC,326208,3471
2020-11-23,SC,327961,3494
2020-11-24,SC,332076,3530
2020-11-25,SC,337009,3561
2020-11-26,SC,343007,3608
2020-11-27,SC,346427,3667
2020-11-28,SC,355950,3701
2020-11-29,SC,358997,3721
2020-11-30,SC,364344,3762
2020-12-01,SC,372545,3809
2020-12-02,SC,378621,3855
2020-12-03,SC,383577,3898
2020-12-04,SC,389751,3939
2020-12-05,SC,393602,3980
2020-12-06,SC,396188,4011
2020-12-07,SC,399691,4041
2020-12-08,SC,406003,4132
2020-12-09,SC,411631,4183
2020-12-10,SC,416752,4224
2020-12-11,SC,421044,4284
2020-12-12,SC,426095,4334
2020-12-13,SC,427401,4365
2020-12-14,SC,432050,4420
2020-12-15,SC,435547,4504
2020-12-16,SC,442624,4517
2020-12-17,SC,448162,4598
2020-12-18,SC,453322,4652
2020-12-19,SC,457335,4668
2020-12-20,SC,461244,4706
2020-12-21,SC,463732,4771
2020-12-22,SC,468403,4836
2020-12-23,SC,472199,4885
2020-12-24,SC,475200,4939
2020-12-25,SC,476681,4973
2020-12-26,SC,478242,5007
2020-12-27,SC,479947,5039
2020-12-28,SC,482129,5082
2020-12-29,SC,485935,5161
2020-12-30,SC,489069,5206
2020-12-31,SC,492583,5253
2021-01-01,SC,494447,5270
2021-01-02,SC,496524,5294
2021-01-03,SC,497345,5314
2021-01-04,SC,498910,5376
2021-01-05,SC,502785,5420
2021-01-06,SC,506897,5482
2021-01-07,SC,511329,5522
2021-01-08,SC,515209,5584
2021-01-09,SC,518805,5611
2021-01-10,SC,520577,5637
2021-01-11,SC,522478,5677
2021-01-12,SC,526024,5707
2021-01-13,SC,529389,5765
2021-01-14,SC,533338,5794
