date,state,cases,deaths
2020-03-20,MT,1,0
2020-03-21,MT,2,0
2020-03-22,MT,2,0
2020-03-23,MT,6,0
2020-03-24,MT,7,0
2020-03-25,MT,9,0
2020-03-26,MT,11,0
2020-03-27,MT,11,0
2020-03-28,MT,13,0
2020-03-29,MT,16,0
2020-03-30,MT,18,0
2020-03-31,MT,25,0
2020-04-01,MT,28,0
2020-04-02,MT,41,0
2020-04-03,MT,44,1
2020-04-04,MT,60,1
2020-04-05,MT,60,1
2020-04-06,MT,76,1
2020-04-07,MT,78,1
2020-04-08,MT,90,1
2020-04-09,MT,108,2
2020-04-10,MT,112,2
2020-04-11,MT,121,3
2020-04-12,MT,123,3
2020-04-13,MT,134,4
2020-04-14,MT,138,4
2020-04-15,MT,151,4
2020-04-16,MT,156,5
2020-04-17,MT,162,5
2020-04-18,MT,171,5
2020-04-19,MT,174,5
2020-04-20,MT,181,6
2020-04-21,MT,181,6
2020-04-22,MT,205,6
2020-04-23,MT,221,7
2020-04-24,MT,241,8
2020-04-25,MT,247,9
2020-04-26,MT,250,9
2020-04-27,MT,257,10
2020-04-28,MT,263,11
2020-04-29,MT,292,11
2020-04-30,MT,302,11
2020-05-01,MT,320,11
2020-05-02,MT,333,12
2020-05-03,MT,337,12
2020-05-04,MT,344,13
2020-05-05,MT,366,13
2020-05-06,MT,385,13
2020-05-07,MT,419,14
2020-05-08,MT,464,15
2020-05-09,MT,502,16
2020-05-10,MT,519,18
2020-05-11,MT,545,19
2020-05-12,MT,604,20
2020-05-13,MT,673,21
2020-05-14,MT,734,24
2020-05-15,MT,792,26
2020-05-16,MT,857,27
2020-05-17,MT,901,27
2020-05-18,MT,941,30
2020-05-19,MT,1005,32
2020-05-20,MT,1090,32
2020-05-21,MT,1187,34
2020-05-22,MT,1271,37
2020-05-23,MT,1363,37
2020-05-24,MT,1464,40
2020-05-25,MT,1594,42
2020-05-26,MT,1744,43
2020-05-27,MT,1909,47
2020-05-28,MT,2085,54
2020-05-29,MT,2262,57
2020-05-30,MT,2413,58
2020-05-31,MT,2485,63
2020-06-01,MT,2636,67
2020-06-02,MT,2817,75
2020-06-03,MT,3029,79
2020-06-04,MT,3388,84
2020-06-05,MT,3593,91
2020-06-06,MT,3788,101
2020-06-07,MT,4033,113
2020-06-08,MT,4243,126
2020-06-09,MT,4504,140
2020-06-10,MT,4762,153
2020-06-11,MT,5092,163
2020-06-12,MT,5390,181
2020-06-13,MT,5739,199
2020-06-14,MT,6108,213
2020-06-15,MT,6390,223
2020-06-16,MT,6877,250
2020-06-17,MT,7361,272
2020-06-18,MT,8166,295
2020-06-19,MT,8725,322
2020-06-20,MT,9262,341
2020-06-21,MT,9776,370
2020-06-22,MT,10270,394
2020-06-23,MT,11017,423
2020-06-24,MT,11571,445
2020-06-25,MT,12601,476
2020-06-26,MT,13406,504
2020-06-27,MT,14128,533
2020-06-28,MT,14687,563
2020-06-29,MT,15328,590
2020-06-30,MT,16304,629
2020-07-01,MT,17401,665
2020-07-02,MT,18356,706
2020-07-03,MT,19540,741
2020-07-04,MT,20333,786
2020-07-05,MT,21081,821
2020-07-06,MT,22078,857
2020-07-07,MT,23506,896
2020-07-08,MT,24804,921
2020-07-09,MT,26396,961
2020-07-10,MT,27636,1026
2020-07-11,MT,28526,1047
2020-07-12,MT,28791,1077
2020-07-13,MT,29279,1105
2020-07-14,MT,29918,1157
2020-07-15,MT,30536,1196
2020-07-16,MT,31717,1235
2020-07-17,MT,32321,1291
2020-07-18,MT,32766,1312
2020-07-19,MT,34604,1348
2020-07-20,MT,35673,1386
2020-07-21,MT,37429,1432
2020-07-22,MT,38931,1474
2020-07-23,MT,41016,1498
2020-07-24,MT,42586,1556
2020-07-25,MT,43253,1580
2020-07-26,MT,43637,1616
2020-07-27,MT,45155,1664
2020-07-28,MT,47045,1700
2020-07-29,MT,48854,1752
2020-07-30,MT,50538,1794
2020-07-31,MT,52078,1842
2020-08-01,MT,53151,1876
2020-08-02,MT,53440,1902
2020-08-03,MT,55156,1927
2020-08-04,MT,57115,1997
2020-08-05,MT,58506,2013
2020-08-06,MT,60409,2051
2020-08-07,MT,62785,2101
2020-08-08,MT,63336,2125
2020-08-09,MT,63680,2147
2020-08-10,MT,65346,2204
2020-08-11,MT,67144,2239
2020-08-12,MT,69085,2264
2020-08-13,MT,70708,2302
2020-08-14,MT,72269,2336
2020-08-15,MT,72791,2363
2020-08-16,MT,73269,2377
2020-08-17,MT,74770,2416
2020-08-18,MT,76540,2437
2020-08-19,MT,78235,2481
2020-08-20,MT,79715,2518
2020-08-21,MT,80876,2540
2020-08-22,MT,81469,2558
2020-08-23,MT,81822,2572
2020-08-24,MT,83490,2614
2020-08-25,MT,85253,2653
2020-08-26,MT,86704,2668
2020-08-27,MT,88385,2707
2020-08-28,MT,90135,2739
2020-08-29,MT,90651,2756
2020-08-30,MT,90895,2777
2020-08-31,MT,92265,2811
2020-09-01,MT,93929,2837
2020-09-02,MT,95233,2868
2020-09-03,MT,96349,2893
2020-09-04,MT,97550,2923
2020-09-05,MT,98188,2940
2020-09-06,MT,98346,2955
2020-09-07,MT,98709,2978
2020-09-08,MT,100012,3010
2020-09-09,MT,101397,3040
2020-09-10,MT,102846,3073
2020-09-11,MT,104529,3093
2020-09-12,MT,105202,3111
2020-09-13,MT,105445,3130
2020-09-14,MT,106895,3157
2020-09-15,MT,108117,3172
2020-09-16,MT,109442,3204
2020-09-17,MT,110705,3226
2020-09-18,MT,112200,3248
2020-09-19,MT,112817,3262
2020-09-20,MT,113186,3279
2020-09-21,MT,114930,3297
2020-09-22,MT,116000,3318
2020-09-23,MT,117299,3336
2020-09-24,MT,118548,3349
2020-09-25,MT,119728,3375
2020-09-26,MT,120374,3394
2020-09-27,MT,120641,3400
2020-09-28,MT,121762,3423
2020-09-29,MT,123112,3445
2020-09-30,MT,124060,3457
2020-10-01,MT,125022,3479
2020-10-02,MT,126106,3498
2020-10-03,MT,126662,3517
2020-10-04,MT,126920,3533
2020-10-05,MT,127730,3545
2020-10-06,MT,128740,3564
2020-10-07,MT,129713,3576
2020-10-08,MT,130783,3586
2020-10-09,MT,131548,3602
2020-10-10,MT,131854,3614
2020-10-11,MT,132024,3622
2020-10-12,MT,132216,3635
2020-10-13,MT,132949,3660
2020-10-14,MT,133864,3677
2020-10-15,MT,134555,3693
2020-10-16,MT,135398,3703
2020-10-17,MT,135784,3712
2020-10-18,MT,135950,3717
2020-10-19,MT,136504,3732
2020-10-20,MT,137287,3744
2020-10-21,MT,138137,3758
2020-10-22,MT,138888,3766
2020-10-23,MT,139801,3773
2020-10-24,MT,140244,3782
2020-10-25,MT,140375,3789
2020-10-26,MT,140997,3804
2020-10-27,MT,141764,3817
2020-10-28,MT,142346,3828
2020-10-29,MT,143047,3841
2020-10-30,MT,143325,3846
2020-10-31,MT,143638,3853
2020-11-01,MT,143764,3857
2020-11-02,MT,143978,3862
2020-11-03,MT,144397,3874
2020-11-04,MT,144999,3883
2020-11-05,MT,145644,3896
2020-11-06,MT,146312,3903
2020-11-07,MT,146698,3913
2020-11-08,MT,146845,3914
2020-11-09,MT,147429,3922
2020-11-10,MT,148015,3932
2020-11-11,MT,148623,3943
2020-11-12,MT,151391,4026
2020-11-13,MT,151893,4036
2020-11-14,MT,152129,4040
2020-11-15,MT,152358,4041
2020-11-16,MT,152847,4053
2020-11-17,MT,153455,4056
2020-11-18,MT,153971,4063
2020-11-19,MT,154438,4073
2020-11-20,MT,154596,4081
2020-11-21,MT,154839,4082
2020-11-22,MT,154924,4089
2020-11-23,MT,155452,4097
2020-11-24,MT,156177,4107
2020-11-25,MT,156937,4111
2020-11-26,MT,157524,4116
