date,state,cases,deaths
2020-03-05,RJ,1,0
2020-03-06,RJ,2,0
2020-03-07,RJ,2,0
2020-03-08,RJ,3,0
2020-03-09,RJ,3,0
2020-03-10,RJ,8,0
2020-03-11,RJ,13,0
2020-03-12,RJ,16,0
2020-03-13,RJ,16,0
2020-03-14,RJ,22,0
2020-03-15,RJ,24,0
2020-03-16,RJ,31,0
2020-03-17,RJ,33,0
2020-03-18,RJ,63,0
2020-03-19,RJ,66,2
2020-03-20,RJ,109,2
2020-03-21,RJ,119,3
2020-03-22,RJ,186,3
2020-03-23,RJ,233,4
2020-03-24,RJ,305,6
2020-03-25,RJ,370,8
2020-03-26,RJ,421,9
2020-03-27,RJ,493,10
2020-03-28,RJ,558,13
2020-03-29,RJ,600,17
2020-03-30,RJ,657,18
2020-03-31,RJ,708,23
2020-04-01,RJ,832,28
2020-04-02,RJ,992,41
2020-04-03,RJ,1074,47
2020-04-04,RJ,1246,58
2020-04-05,RJ,1394,64
2020-04-06,RJ,1461,71
2020-04-07,RJ,1688,89
2020-04-08,RJ,1938,106
2020-04-09,RJ,2216,122
2020-04-10,RJ,2464,147
2020-04-11,RJ,2607,155
2020-04-12,RJ,2855,170
2020-04-13,RJ,3231,188
2020-04-14,RJ,3410,224
2020-04-15,RJ,3743,265
2020-04-16,RJ,3944,301
2020-04-17,RJ,4349,341
2020-04-18,RJ,4543,387
2020-04-19,RJ,4765,402
2020-04-20,RJ,4899,422
2020-04-21,RJ,5306,461
2020-04-22,RJ,5552,490
2020-04-23,RJ,6172,530
2020-04-24,RJ,6282,570
2020-04-25,RJ,6828,615
2020-04-26,RJ,7111,645
2020-04-27,RJ,7944,677
2020-04-28,RJ,8504,738
2020-04-29,RJ,8869,794
2020-04-30,RJ,9453,854
2020-05-01,RJ,10166,921
2020-05-02,RJ,10546,971
2020-05-03,RJ,11139,1019
2020-05-04,RJ,11721,1065
2020-05-05,RJ,12391,1123
2020-05-06,RJ,13295,1205
2020-05-07,RJ,14156,1394
2020-05-08,RJ,15741,1503
2020-05-09,RJ,16929,1653
2020-05-10,RJ,17062,1714
2020-05-11,RJ,17939,1770
2020-05-12,RJ,18486,1928
2020-05-13,RJ,18728,2050
2020-05-14,RJ,19467,2247
2020-05-15,RJ,19987,2438
2020-05-16,RJ,21601,2614
2020-05-17,RJ,22238,2715
2020-05-18,RJ,26665,2852
2020-05-19,RJ,27805,3079
2020-05-20,RJ,30372,3237
2020-05-21,RJ,32089,3412
2020-05-22,RJ,33589,3657
2020-05-23,RJ,34533,3905
2020-05-24,RJ,37912,3993
2020-05-25,RJ,39298,4105
2020-05-26,RJ,40024,4361
2020-05-27,RJ,42398,4605
2020-05-28,RJ,44886,4856
2020-05-29,RJ,47953,5079
2020-05-30,RJ,52420,5277
2020-05-31,RJ,53388,5344
2020-06-01,RJ,54530,5462
2020-06-02,RJ,56732,5686
2020-06-03,RJ,59240,6010
2020-06-04,RJ,60932,6327
2020-06-05,RJ,63066,6473
2020-06-06,RJ,64533,6639
2020-06-07,RJ,67756,6707
2020-06-08,RJ,69499,6781
2020-06-09,RJ,72979,6928
2020-06-10,RJ,74373,7138
2020-06-11,RJ,75775,7363
2020-06-12,RJ,77784,7417
2020-06-13,RJ,78836,7592
2020-06-14,RJ,79572,7672
2020-06-15,RJ,80946,7728
2020-06-16,RJ,83343,7967
2020-06-17,RJ,86963,8138
2020-06-18,RJ,87317,8412
2020-06-19,RJ,93378,8595
2020-06-20,RJ,95537,8824
2020-06-21,RJ,96133,8875
2020-06-22,RJ,97572,8933
2020-06-23,RJ,100869,9153
2020-06-24,RJ,103493,9295
2020-06-25,RJ,105897,9450
2020-06-26,RJ,108497,9587
2020-06-27,RJ,108803,9789
2020-06-28,RJ,111298,9819
2020-06-29,RJ,111883,9848
2020-06-30,RJ,112611,10080
2020-07-01,RJ,115278,10198
2020-07-02,RJ,116823,10332
2020-07-03,RJ,118956,10500
2020-07-04,RJ,120440,10624
2020-07-05,RJ,121292,10667
2020-07-06,RJ,121879,10698
2020-07-07,RJ,124086,10881
2020-07-08,RJ,126329,10970
2020-07-09,RJ,128324,11115
2020-07-10,RJ,129443,11280
2020-07-11,RJ,129675,11406
2020-07-12,RJ,129684,11415
2020-07-13,RJ,132044,11474
2020-07-14,RJ,132822,11624
2020-07-15,RJ,134449,11757
2020-07-16,RJ,134573,11849
2020-07-17,RJ,135230,11919
2020-07-18,RJ,135230,11919
2020-07-19,RJ,138524,12114
2020-07-20,RJ,141005,12161
2020-07-21,RJ,145121,12293
2020-07-22,RJ,148623,12443
2020-07-23,RJ,151549,12535
2020-07-24,RJ,154879,12654
2020-07-25,RJ,156293,12808
2020-07-26,RJ,156325,12835
2020-07-27,RJ,157834,12876
2020-07-28,RJ,159639,13033
2020-07-29,RJ,161647,13198
2020-07-30,RJ,163642,13348
2020-07-31,RJ,165495,13477
2020-08-01,RJ,167213,13556
2020-08-02,RJ,167225,13572
2020-08-03,RJ,168064,13604
2020-08-04,RJ,168911,13715
2020-08-05,RJ,172679,13855
2020-08-06,RJ,174064,13941
2020-08-07,RJ,175696,14028
2020-08-08,RJ,178524,14070
2020-08-09,RJ,178850,14080
2020-08-10,RJ,180016,14108
2020-08-11,RJ,182563,14212
2020-08-12,RJ,185610,14295
2020-08-13,RJ,188085,14412
2020-08-14,RJ,189891,14507
2020-08-15,RJ,190614,14526
2020-08-16,RJ,194279,14562
2020-08-17,RJ,194651,14566
2020-08-18,RJ,199480,14728
2020-08-19,RJ,202993,14913
2020-08-20,RJ,205916,15074
2020-08-21,RJ,207036,15202
2020-08-22,RJ,210464,15267
2020-08-23,RJ,210948,15292
2020-08-24,RJ,211360,15392
2020-08-25,RJ,214003,15560
2020-08-26,RJ,216675,15700
2020-08-27,RJ,219198,15859
2020-08-28,RJ,219198,15859
2020-08-29,RJ,222957,16016
2020-08-30,RJ,223302,16027
2020-08-31,RJ,223631,16065
2020-09-01,RJ,226800,16217
2020-09-02,RJ,228332,16315
2020-09-03,RJ,230271,16394
2020-09-04,RJ,232489,16467
2020-09-05,RJ,232747,16526
2020-09-06,RJ,232818,16568
2020-09-07,RJ,233052,16593
2020-09-08,RJ,233373,16646
2020-09-09,RJ,233873,16770
2020-09-10,RJ,234813,16871
2020-09-11,RJ,240453,16883
2020-09-12,RJ,240776,16985
2020-09-13,RJ,242491,16990
2020-09-14,RJ,242811,17003
2020-09-15,RJ,244418,17180
2020-09-16,RJ,246182,17342
2020-09-17,RJ,246843,17453
2020-09-18,RJ,249798,17575
2020-09-19,RJ,251261,17634
2020-09-20,RJ,251909,17677
2020-09-21,RJ,252046,17727
2020-09-22,RJ,253756,17798
2020-09-23,RJ,254885,17911
2020-09-24,RJ,257985,18037
2020-09-25,RJ,259488,18166
2020-09-26,RJ,259670,18247
2020-09-27,RJ,261860,18278
2020-09-28,RJ,262006,18291
2020-09-29,RJ,263699,18388
2020-09-30,RJ,264783,18487
2020-10-01,RJ,266235,18567
2020-10-02,RJ,270395,18665
2020-10-03,RJ,271575,18749
2020-10-04,RJ,271701,18769
2020-10-05,RJ,273338,18780
2020-10-06,RJ,275415,18883
2020-10-07,RJ,277439,18969
2020-10-08,RJ,280144,19110
2020-10-09,RJ,282080,19222
2020-10-10,RJ,283407,19284
2020-10-11,RJ,283675,19308
2020-10-12,RJ,283858,19312
2020-10-13,RJ,284053,19336
2020-10-14,RJ,285205,19440
2020-10-15,RJ,286282,19555
2020-10-16,RJ,289440,19654
2020-10-17,RJ,289569,19715
2020-10-18,RJ,290878,19765
2020-10-19,RJ,291413,19770
2020-10-20,RJ,292621,19836
2020-10-21,RJ,293940,19945
2020-10-22,RJ,295021,20021
2020-10-23,RJ,296797,20115
2020-10-24,RJ,298823,20171
2020-10-25,RJ,299380,20203
2020-10-26,RJ,302746,20213
2020-10-27,RJ,304906,20292
2020-10-28,RJ,306672,20376
2020-10-29,RJ,308017,20462
2020-10-30,RJ,309496,20565
2020-10-31,RJ,309977,20600
2020-11-01,RJ,311014,20611
2020-11-02,RJ,311308,20636
2020-11-03,RJ,313089,20651
2020-11-04,RJ,313089,20759
2020-11-05,RJ,313843,20849
2020-11-06,RJ,314809,20849
2020-11-07,RJ,315348,20905
2020-11-08,RJ,316170,20905
2020-11-09,RJ,316575,20905
2020-11-10,RJ,318953,20905
2020-11-11,RJ,320598,20970
2020-11-12,RJ,322383,21090
2020-11-13,RJ,323006,21162
2020-11-14,RJ,326645,21284
2020-11-15,RJ,326956,21294
2020-11-16,RJ,327455,21301
2020-11-17,RJ,330009,21474
2020-11-18,RJ,332396,21698
2020-11-19,RJ,334514,21806
2020-11-20,RJ,336915,21938
2020-11-21,RJ,337277,21971
2020-11-22,RJ,338203,21974
2020-11-23,RJ,338688,22028
2020-11-24,RJ,340833,22141
2020-11-25,RJ,343995,22256
2020-11-26,RJ,346024,22394
2020-11-27,RJ,347348,22448
2020-11-28,RJ,352760,22539
2020-11-29,RJ,353316,22561
2020-11-30,RJ,354354,22590
2020-12-01,RJ,357982,22683
2020-12-02,RJ,361397,22764
2020-12-03,RJ,365185,22891
2020-12-04,RJ,367641,23017
