date,state,cases,deaths
2020-03-20,RO,1,0
2020-03-21,RO,3,0
2020-03-22,RO,3,0
2020-03-23,RO,3,0
2020-03-24,RO,5,0
2020-03-25,RO,5,0
2020-03-26,RO,6,0
2020-03-27,RO,6,0
2020-03-28,RO,6,0
2020-03-29,RO,6,0
2020-03-30,RO,8,1
2020-03-31,RO,9,1
2020-04-01,RO,9,1
2020-04-02,RO,10,1
2020-04-03,RO,10,1
2020-04-04,RO,11,1
2020-04-05,RO,14,1
2020-04-06,RO,18,1
2020-04-07,RO,23,1
2020-04-08,RO,26,1
2020-04-09,RO,28,2
2020-04-10,RO,32,2
2020-04-11,RO,34,2
2020-04-12,RO,42,2
2020-04-13,RO,42,2
2020-04-14,RO,69,2
2020-04-15,RO,73,2
2020-04-16,RO,92,3
2020-04-17,RO,110,3
2020-04-18,RO,128,4
2020-04-19,RO,160,4
2020-04-20,RO,199,4
2020-04-21,RO,223,5
2020-04-22,RO,223,5
2020-04-23,RO,250,5
2020-04-24,RO,290,6
2020-04-25,RO,328,7
2020-04-26,RO,364,10
2020-04-27,RO,393,10
2020-04-28,RO,413,11
2020-04-29,RO,433,15
2020-04-30,RO,502,16
2020-05-01,RO,585,18
2020-05-02,RO,654,23
2020-05-03,RO,705,24
2020-05-04,RO,756,25
2020-05-05,RO,861,29
2020-05-06,RO,943,33
2020-05-07,RO,1098,37
2020-05-08,RO,1222,39
2020-05-09,RO,1263,41
2020-05-10,RO,1302,43
2020-05-11,RO,1398,47
2020-05-12,RO,1460,50
2020-05-13,RO,1612,50
2020-05-14,RO,1686,56
2020-05-15,RO,1794,62
2020-05-16,RO,1919,69
2020-05-17,RO,1963,74
2020-05-18,RO,2043,83
2020-05-19,RO,2413,88
2020-05-20,RO,2499,90
2020-05-21,RO,2659,101
2020-05-22,RO,2774,106
2020-05-23,RO,3109,115
2020-05-24,RO,3201,121
2020-05-25,RO,3268,121
2020-05-26,RO,3493,133
2020-05-27,RO,3862,137
2020-05-28,RO,4252,142
2020-05-29,RO,4502,145
2020-05-30,RO,4743,151
2020-05-31,RO,4942,156
2020-06-01,RO,5172,159
2020-06-02,RO,5477,172
2020-06-03,RO,5714,180
2020-06-04,RO,6459,194
2020-06-05,RO,6862,213
2020-06-06,RO,7701,228
2020-06-07,RO,8110,235
2020-06-08,RO,8626,245
2020-06-09,RO,9220,255
2020-06-10,RO,9850,267
2020-06-11,RO,10547,293
2020-06-12,RO,11224,296
2020-06-13,RO,11710,309
2020-06-14,RO,11865,324
2020-06-15,RO,12180,332
2020-06-16,RO,13010,346
2020-06-17,RO,13567,361
2020-06-18,RO,13804,374
2020-06-19,RO,14353,391
2020-06-20,RO,14952,409
2020-06-21,RO,15181,417
2020-06-22,RO,15827,432
2020-06-23,RO,16499,444
2020-06-24,RO,17424,455
2020-06-25,RO,18173,467
2020-06-26,RO,19271,476
2020-06-27,RO,19735,481
2020-06-28,RO,19820,486
2020-06-29,RO,20406,500
2020-06-30,RO,21251,518
2020-07-01,RO,21523,523
2020-07-02,RO,21970,530
2020-07-03,RO,22241,533
2020-07-04,RO,22957,548
2020-07-05,RO,23479,555
2020-07-06,RO,23921,558
2020-07-07,RO,24564,577
2020-07-08,RO,25067,585
2020-07-09,RO,25402,589
2020-07-10,RO,26000,606
2020-07-11,RO,26496,617
2020-07-12,RO,26728,628
2020-07-13,RO,27050,647
2020-07-14,RO,27528,663
2020-07-15,RO,27917,668
2020-07-16,RO,28654,677
2020-07-17,RO,29117,686
2020-07-18,RO,29117,686
2020-07-19,RO,29117,686
2020-07-20,RO,29801,710
2020-07-21,RO,30642,727
2020-07-22,RO,32944,758
2020-07-23,RO,34080,784
2020-07-24,RO,34873,801
2020-07-25,RO,35573,810
2020-07-26,RO,35810,814
2020-07-27,RO,36148,830
2020-07-28,RO,36849,840
2020-07-29,RO,37634,855
2020-07-30,RO,38407,864
2020-07-31,RO,38992,872
